Gene	PMID	URL	PubDate
PAK2	39133645	https://pubmed.ncbi.nlm.nih.gov/39133645/	2025 Mar
PAK2	39876536	https://pubmed.ncbi.nlm.nih.gov/39876536/	2025 Jun
PAK2	39884316	https://pubmed.ncbi.nlm.nih.gov/39884316/	2025 Apr
PAK2	40101711	https://pubmed.ncbi.nlm.nih.gov/40101711/	2025 Apr 3
PAK2	40118917	https://pubmed.ncbi.nlm.nih.gov/40118917/	2025 Mar 21
PAK2	40185074	https://pubmed.ncbi.nlm.nih.gov/40185074/	2025 Apr 3
PAK2	40247748	https://pubmed.ncbi.nlm.nih.gov/40247748/	2025 Apr
PAK2	40381193	https://pubmed.ncbi.nlm.nih.gov/40381193/	2025 May 27
PAK2	40465712	https://pubmed.ncbi.nlm.nih.gov/40465712/	2025 Jun 6
PAK2	40546023	https://pubmed.ncbi.nlm.nih.gov/40546023/	2025 Jun 15
